OBJECTID,ID_4Digit,Name,Latitude,Longitude,Address,Advertised Hours,Confirmed Hours:,Confirmed Hours Other:,Showers,Menstrual Products,ADA Accessible,Baby Changing,Gender Neutral,Restroom Open Status,Restroom Assessed,Category,Public Buildings,Outdoor Facilities,Government Facilities,Other,Commercial,Transportation (MTS),PSJ Team Internal Notes,Public Restrooms in San Diego,Operated By,GlobalID,CreationDate,Creator,EditDate,Editor,Restroom assessment date:
440,1391,Mountain Hawk Park,32.63584041,-116.9338283,"1475 Lake Crest Dr, Chula Vista, CA 91915","7:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Chula Vista,ea5a6f16-265f-496f-94e9-be3999b3c82d,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
441,1806,Salt Creek Field,32.64156138,-116.9450731,"2710 Otay Lakes Rd, Chula Vista, CA 91915","7:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Chula Vista,30ca2a37-e26b-4764-9b45-b04a2edec6b7,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
443,1741,Vista Sports Park,33.22628811,-117.2585965,"1600 Sports Park Way, Vista, CA 92083","7:00am - 5:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Vista,c622d5d4-b839-40f0-9e74-5f442b080b6e,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
444,1131,Coronado Cays Park,32.62251412,-117.1352774,"101 Grand Caribe Causeway, Coronado, CA 92118","7:00am - 6:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Coronado,d92209b2-adcf-4871-b20c-d608da6f9132,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
445,1043,Berry Street Park,32.73125194,-117.0448371,"7071 Mt Vernon St, Lemon Grove, CA 91945","7:00am - 7:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Lemon Grove,102237f9-c594-4abb-aeab-07589eb23186,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
446,1089,Carmel Creek Neighborhood Park,32.95189356,-117.22472,"4260 Carmel Center Rd, San Diego, CA 92130",24/7,,,,,,,,1,,,,,,,,,,1,City of San Diego,c4635b56-0800-4596-9525-b302cdbe5b84,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
447,1597,Starridge Park,32.96441111,-117.0523,"13745 Carriage Rd, Poway, CA 92064","7:00am - 7:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Poway,a0b6749d-05ce-4b2c-939f-22f3ea9912fe,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
448,1751,Buena Vista Park,33.15779619,-117.2464578,"1601 Shadowridge Dr, Vista, CA 92081","7:00am - 7:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Vista,1500cafe-ecb9-4f48-bc2a-b1fd4517b20d,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
449,1204,Equestrian Circle,32.84674415,-117.030307,"14450 Equestrian Cir, San Diego, CA 92124","8:00am - 7:00pm, daily",1,,1,0,1,1,1,1,3,2,,3,,,,,Hand dryer on left side broken. ,0,City of San Diego & Mission Trail Regional Park,c71c8799-8069-4418-b51e-2b9ca6e746c8,42:35.3,arios8883_SDSUGeo,10:26.8,,09:46.0
450,1307,Laguna Riviera Park,33.14674872,-117.3119649,"4885 Kelly Dr, Carlsbad, CA 92008","8:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,3575eccc-7101-4f07-83f1-e488b28bae56,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
451,1666,Woodland Park,33.14931728,-117.1318199,"671 Woodland Pkwy, San Marcos, CA 92069","7:00am - 8:30pm, daily",,,,,,,,,,,,,,,,,,1,City of San Marcos,eb6dd71c-932b-4574-9472-944711e2082b,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
452,1602,La Mesa Sunset Park,32.78174803,-117.0377124,"5540 Lake Park Way, La Mesa, CA 91942","7:00am - 8:00pm, daily",1,,1,0,1,0,0,1,3,2,,1,,,,,No doors on stalls. ,0,City of La Mesa,d799c90c-a5d3-443a-bb2b-fccf10cdb1f8,42:35.3,arios8883_SDSUGeo,21:27.3,,20:52.3
453,1397,Mulberry Park,33.15224643,-117.147931,"751 Mulberry Dr, San Marcos, CA 92069","7:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,City of San Marcos,8f6d0e65-1a00-4b5d-b348-b6502684b1ba,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
454,1509,Richmar Park,33.14470495,-117.163585,"110 Richmar Ave, San Marcos, CA 92069","7:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,City of San Marcos,68b31131-afdb-4447-be25-a6ab85395bf2,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
455,1660,Westside Park,33.1144529,-117.0894438,"803 W 3rd Ave, Escondido, CA 92025","7:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Escondido,ed53d962-f248-4647-80ed-985afa0996c6,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
