OBJECTID,ID_4Digit,Name,Latitude,Longitude,Address,Advertised Hours,Confirmed Hours:,Confirmed Hours Other:,Showers,Menstrual Products,ADA Accessible,Baby Changing,Gender Neutral,Restroom Open Status,Restroom Assessed,Category,Public Buildings,Outdoor Facilities,Government Facilities,Other,Commercial,Transportation (MTS),PSJ Team Internal Notes,Public Restrooms in San Diego,Operated By,GlobalID,CreationDate,Creator,EditDate,Editor,Restroom assessment date:
1,1321,Pacific Beach Law Street,32.802045,-117.259276,"4861 Ocean Blvd, San Diego, CA 92109",24/7,1,,0,0,1,0,1,1,1,2,,2,,,,,,0,City of San Diego,e729c27f-94bf-4631-9780-3c5003866d8f,42:35.3,arios8883_SDSUGeo,15:30.9,arios8883_SDSUGeo,6/22/22 17:12
2,1400,National City Public Library,32.6704966,-117.1045358,"1401 National City Blvd, National City, CA 91950","Sun Closed, Mon - Thurs 10:00am - 8:00pm, Fri 10:00am - 6:00pm, Sat 10:00am - 5:00pm",0,,1,0,1,0,0,1,1,1,1,,,,,,"2 restrooms, one on the first floor and another on the second. ",0,City of National City,ec72bb33-4f3b-4ba4-a21a-4f3406709a4e,42:35.3,arios8883_SDSUGeo,28:59.7,,7/23/22 18:28
3,1134,Coronado Ferry Landing near Cold Stone,32.69811232,-117.1695199,"1201 1st St # 101, Coronado, CA 92118","10:00am - 9:00pm, daily",0,,1,1,1,1,0,1,1,,,,,,,,25¢ for menstrual products; hours listed are from Apple/Google maps; bike rack and water fountain available,0,City of Coronado,554ec5e9-e167-43ec-88dd-18411a3d173c,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
4,1136,Coronado Municipal Golf Course,32.68471106,-117.166032,"2000 Visalia Row, Coronado, CA 92118","5:30am - 5:00pm, daily",0,,1,1,1,1,0,1,1,,,,,,,,,0,City of Coronado,6589f4aa-f543-4370-81e9-771c4204f61b,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
5,1138,Coronado Tidelands Park,32.69148767,-117.1650511,"2000 Mullinex Dr, Coronado, CA 92118","6:00am - 10:30pm, daily",0,,1,0,1,0,0,1,1,,,,,,,,,0,City of Coronado,c1020ca4-64e8-4cd2-a921-91b2cbaacea1,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
6,1627,Torrey Pines State Reserve,32.92700153,-117.2592838,"12600 N Torrey Pines Rd, La Jolla, CA 92037","7:15am to Sunset, daily ",1,,1,0,1,0,1,1,3,2,,2,,,,,Foot rinse station. No showers. ,0,City of San Diego & CA State,59f84f11-c11d-4b19-ab01-88814f373ce8,42:35.3,arios8883_SDSUGeo,50:55.4,,50:21.9
7,1530,San Elijo Lagoon Nature Center,33.01335689,-117.2742534,"2710 Manchester Ave, Cardiff, CA 92007","9:00am - 5:00pm, daily",0,,1,0,1,1,1,1,1,,,,,,,,,0,San Diego County,6e1f6ce1-148e-41f6-bbbb-e68e264b85ce,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
8,1360,Mast Park Dog Park,32.8458428,-116.9925787,"9125 Carlton Hills Blvd, Santee, CA 92071","Dawn to 10:00pm, daily ",0,,1,0,1,1,1,1,1,2,,1,,,,,,0,City of Santee,365e9ae9-702b-43be-8d34-273439eb9172,42:35.3,arios8883_SDSUGeo,44:25.8,,10/23/22 15:44
9,1305,La Mesa Branch Library,32.76620773,-117.0233086,"8074 Allison Ave, La Mesa, CA 91942","Mon & Thurs 10:00am - 6:00pm, Tues - Wed 12:00pm - 7:00pm, Fri - Sun 10:00am - 5:00pm",0,,1,0,1,1,0,1,1,1,1,,,,,,,0,San Diego County,1772f79d-30e1-442c-9574-754f6a0dee04,42:35.3,arios8883_SDSUGeo,45:07.6,,6/22/22 16:44
10,1550,Santee Public Library,32.84458665,-116.9968569,"9225 Carlton Hills Blvd, Unit 17, Santee, CA 92071","Mon, Wed, Thurs 10:00am - 6:00pm, Tues 12:00pm - 7:00pm, Fri - Sat 10:00am - 5:00pm, Sun closed",0,,1,2,1,1,1,1,1,1,1,,,,,,,0,San Diego County,a84fb165-8727-41c4-85ba-e145ec2dbd1f,42:35.3,arios8883_SDSUGeo,31:16.1,,6/26/24 21:53
11,1137,Coronado Public Library,32.6910465,-117.1774205,"640 Orange Ave, Coronado, CA 92118","Sun 1:00pm - 5:00pm, Mon - Thurs 9:30am - 9:00pm, Fri 9:30am - 6:00pm, Sat 10:00am - 6:00pm",0,,1,0,1,1,0,1,1,,,,,,,,,0,City of Coronado,d843143f-77a1-47bc-a757-64e99cabcffe,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
12,1294,Kensington-Normal Heights Branch Library,32.76303396,-117.1068254,"4121 Adams Ave, San Diego, CA 92116","Sun Closed, Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm",0,,1,0,1,1,1,1,1,1,1,,,,,,,0,City of San Diego,2f6e09f9-e9eb-4204-b78c-c378cd14d03f,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
13,1476,Pacific Beach Drive,32.79076438,-117.2544261,"Pacific Beach Dr at Strandway, San Diego, CA 92109",24/7,1,,0,0,1,0,0,1,1,2,,2,,,,,,0,City of San Diego,96175d03-51dc-4b7a-bf6e-bfbb9a3ed110,42:35.3,arios8883_SDSUGeo,02:03.9,,6/24/22 16:59
14,1589,Spreckels Park,32.69119134,-117.1761637,"601 Orange Ave, Coronado, CA 92118",24/7,0,,,0,1,1,1,1,1,,,,,,,,,0,City of Coronado,2397d09a-3ef7-4575-adbd-b7dd47ba784c,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
15,1629,Pacific Beach Tourmaline Surf Park,32.80512796,-117.2619928,"304 Tourmaline St, San Diego, CA 92109",24/7,1,,0,0,1,0,0,1,1,2,,2,,,,,,0,City of San Diego,b55770d6-0be8-4723-b046-8124f3ec054f,42:35.3,arios8883_SDSUGeo,15:30.9,arios8883_SDSUGeo,6/24/22 16:25
16,1186,Embarcadero Marina South Park,32.70344077,-117.1644398,"200 Marina Park Way, San Diego, CA 92101","6:00am - 10:30pm, daily",0,,1,0,1,0,0,1,1,2,,1,,,,,,0,Port of San Diego,ec61b3e0-6896-44d4-9a72-be5404d3d540,42:35.3,arios8883_SDSUGeo,38:44.1,,7/19/22 18:38
17,1521,Ruocco Park,32.71071794,-117.1717792,"585 Harbor Ln, San Diego, CA 92132","6:00am - 10:30pm, daily",0,,,0,1,0,0,1,1,2,,1,,,,,,0,Port of San Diego,f6ef00b4-3599-4329-8cc8-32699678c8f0,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
18,1463,Palm Ridge Park,32.58286093,-117.04001,"751 Firethorn St, San Diego, CA 92154",24/7,0,,,0,1,0,0,1,1,2,,1,,,,,,0,City of San Diego,42f62bdf-00ca-4014-9d2a-9feb38e64b7c,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
19,1421,Ocean Beach Athletic Area,32.75422315,-117.2413978,"2525 Bacon St, San Diego, CA 92107",Mon - Thurs 11:00am - 8:00pm; Fri 11:00am - 7:00pm; Sat - Sun 8:00am - 4:00pm,0,,1,0,1,0,0,1,1,2,,1,,,,,,0,City of San Diego,53c64637-9d4d-4c2a-b49a-4b27024eed49,42:35.3,arios8883_SDSUGeo,37:26.7,,7/14/23 15:29
20,1104,Chicano Park,32.69917387,-117.1423644,"Between National and Logan, San Diego, CA 92113",6:00am - 10:00pm - Google Maps,0,,1,0,1,1,1,1,1,2,,1,,,,,,0,City of San Diego,35c1b13a-14b5-479a-8973-32e9fe9c5299,42:35.3,arios8883_SDSUGeo,08:58.6,,8/3/22 16:30
21,1383,Montgomery-Waller Community Park,32.58259002,-117.0678763,"2997-3037, Palm Ave, San Diego, CA 92154",24/7,0,,,0,1,0,1,1,1,2,,1,,,,,Family restroom was locked/occupied,0,City of San Diego,f3d92984-3cd8-49d4-adc1-91e630671a5c,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
22,1621,Gaslamp Square Park,32.70711347,-117.1594935,"170 6th Ave, San Diego, CA 92101",6:00am - 8:30pm,1,,1,0,1,0,1,1,1,3,,,2,,,,City of San Diego bathroom attached to restaurant,0,City of San Diego,2d6d0681-25a6-41f1-bbc6-e95c29bc79c7,42:35.3,arios8883_SDSUGeo,12:04.0,,8/19/22 19:11
23,1403,North Beach,32.68703747,-117.1910811,"300 Ocean Blvd, Coronado, CA 92118","7:00am - 10:00pm, daily",0,,,0,1,1,1,1,1,,,,,,,,"Showers (teet and body), water bottling filling",0,City of Coronado,63a68045-7a67-4896-825c-ac2775fb7778,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
24,1658,Wells Park,32.79924875,-116.9424619,"1153 E Madison Ave, El Cajon, CA 92021","7:00am - 7:00pm, daily",0,,,0,0,0,1,1,1,2,,1,,,,,,0,City of El Cajon,40daa1b4-9ce5-42b8-8c10-070b259ffc8f,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
25,1290,Keiller Neighborhood Park,32.71237518,-117.0414159,"720 Woodrow Ave, San Diego, CA 92114","7:00am - 8:30pm, daily",0,,,0,1,1,1,1,1,2,,1,,,,,,0,City of San Diego,a0ae8dd8-ef72-4117-8cfd-2163294397a4,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
26,1454,Otay Valley Regional Park Ranger Station,32.58792838,-117.0722208,"2155 Beyer Blvd, San Diego, CA 92154",8:00am - 5:00pm,0,,,0,1,0,1,1,1,2,,3,,,,,,0,City of San Diego,ba11f036-6802-48ca-913e-a4398e3371a7,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
27,1361,Mast Park Parking Lot,32.84505185,-116.9961568,"9125 Carlton Hills Blvd, Santee, CA 92071","Dawn to 10:00pm, daily ",0,,1,0,1,1,1,1,1,2,,1,,,,,Security cameras,0,City of Santee,0f15b884-611a-4a32-9d3f-db181fe35c80,42:35.3,arios8883_SDSUGeo,03:23.5,,6/23/22 16:02
28,1581,Bayfront Park,32.70460796,-117.1612891,"1 Park Blvd, San Diego, CA 92101","6:00am - 10:30pm, daily",1,,1,0,1,0,0,1,1,2,,1,,,,,,0,Port of San Diego,3612d9f3-9153-4b17-a7d3-ba611686c715,42:35.3,arios8883_SDSUGeo,22:22.4,,11/18/22 15:22
29,1190,Encanto Recreation Center,32.71470166,-117.0578066,"294 Wunderlin Ave, San Diego, CA 92114","Mon & Wed 11:00am - 10:00pm; Tues & Thurs 11:00am - 7:00pm; 12:00pm - 8:00pm, Fri 11:00am - 8:00pm; Sat 9:00am - 3:00pm; Sun Closed",0,,,0,1,1,0,1,1,1,2,,,,,,,0,City of San Diego,091122bd-8b89-4661-b9d9-841c22f27b16,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
30,1651,Vista Terrace Pool,32.5651273,-117.0514815,"301 Athey Ave, San Diego, CA 92173","Mon - Fri 3:00pm - 7:00pm, Sat - Sun Closed",0,,,0,0,0,0,0,1,1,3,,,,,,Pool only open 1.5 hours per day,0,City of San Diego,02356483-4fc5-4389-a530-3cff8f6c7328,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
31,1527,San Diego Central Library,32.70878301,-117.1540875,"330 Park Blvd, San Diego, CA 92101","Sun Closed, Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm",0,,,0,1,1,1,1,1,1,1,,,,,,Key needed for changing station,0,City of San Diego,e44e17d8-3259-421e-b578-e115b8f0959b,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
32,1461,Pacific Beach/Taylor Branch Library,32.79409747,-117.2500132,"4275 Cass St, San Diego, CA 92109",Sat - Sun Closed; Mon - Tues 11:30am - 8:00pm; Wed - Fri 9:30am - 6:00pm,0,,1,2,1,1,0,1,1,1,1,,,,,,,0,City of San Diego,7a774da9-bb4c-4788-aba6-f84a42602490,42:35.3,arios8883_SDSUGeo,04:31.0,,6/24/22 17:04
33,1450,Otay Mesa-Nestor Library,32.5766175,-117.0679143,"3003 Coronado Ave, San Diego, CA 92154","Sun Closed, Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm",0,,,0,1,1,0,1,1,1,1,,,,,,,0,City of San Diego,4bca16c3-52ed-4c9c-a284-4b4635f3a85b,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
34,1546,Santee Lakes (between lakes 3 & 4),32.85372289,-117.0058043,"9310 Fanita Pkwy, Santee, CA 92071","Seasonal Park Hours (Nov 7-Through Feb) Mon - Thurs 8:00am - 5:00pm, Fri - Sun 6:00am - 5:00pm. (March 13-Sep) Mon - Thurs 8:00am - 7:00pm, Fri - Sun 6:00am - 7:00pm, (Oct) Mon - Thurs 8:00am - 6:00pm, Fri - Sun 6:00am - 6:00pm",0,,,0,1,0,0,1,1,2,,1,,,,,,0,Padre Dam,6ea962f3-f749-4ab7-915f-db2ea040940e,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
35,1549,Santee Lakes (between Lakes 5 & 6),32.86045965,-117.0077583,"9310 Fanita Pkwy, Santee, CA 92071","Seasonal Park Hours (Nov 7-Through Feb) Mon - Thurs 8:00am - 5:00pm, Fri - Sun 6:00am - 5:00pm. (March 13-Sep) Mon - Thurs 8:00am - 7:00pm, Fri - Sun 6:00am - 7:00pm, (Oct) Mon - Thurs 8:00am - 6:00pm, Fri - Sun 6:00am - 6:00pm",0,,,0,1,0,0,1,1,2,,1,,,,,,0,Padre Dam,0d685709-9f6d-4c8b-9646-24be0198379d,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
36,1545,Santee Lakes (Lake 4),32.85680764,-117.0061975,"9310 Fanita Pkwy, Santee, CA 92071","Seasonal Park Hours (Nov 7-Through Feb) Mon - Thurs 8:00am - 5:00pm, Fri - Sun 6:00am - 5:00pm. (March 13-Sep) Mon - Thurs 8:00am - 7:00pm, Fri - Sun 6:00am - 7:00pm, (Oct) Mon - Thurs 8:00am - 6:00pm, Fri - Sun 6:00am - 6:00pm",0,,,0,1,0,0,1,1,2,,1,,,,,,0,Padre Dam,ee80fac7-616b-4d15-a423-241a670dad33,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
37,1267,Imperial Beach Fishing Pier,32.5796089,-117.1358607,"790 Seacoast Dr, Imperial Beach, CA 91932","6:00am - 10:00pm, daily",0,,,0,1,0,0,1,1,2,,2,,,,,,0,Port of San Diego,434f6bdd-f210-4f3d-8851-3058457c28bf,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
38,1259,Hilton Parking,32.70373156,-117.158946,"1 Park Blvd, San Diego, CA 92101",M-T 6a-4p; W & Sun 6a-8p; Th-Sat 6a-9p,3,,1,0,1,0,0,1,1,5,,,,,2,,Must get free token from Starbucks next door,0,Hilton & Port of San Diego,6a973bf9-d092-4538-ba60-4ff659d0a4f7,42:35.3,arios8883_SDSUGeo,15:30.9,arios8883_SDSUGeo,7/22/22 14:33
39,1594,Spring Valley County Park,32.70700282,-117.0075654,"8735 Jamacha Blvd, Spring Valley, CA 91977","Sunrise to Sunset, daily",3,,1,0,2,0,1,1,1,,,,,,,,,0,San Diego County,f25c28ca-a46e-487c-af22-ea74adc99c93,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
40,1061,Broadway Landing,32.71663611,-117.1732348,"990 N Harbor Dr, San Diego, CA 92132","Mon - Fri 8:00am - 8:00pm, Sat - Sun 8:00am - 11:00pm",3,Verified with employee in person. ,1,0,1,1,0,1,1,2,,1,,,,,,0,Port of San Diego,1adc0864-2373-4d5c-a0db-d349f7af7ccc,42:35.3,arios8883_SDSUGeo,27:51.8,,11/14/22 19:24
41,1645,Imperial Beach Senior Center,32.57734495,-117.1163391,"1075 8th St, Imperial Beach, CA 91932","Mon & Wed 8:00am - 12:00pm, Tues & Thurs 9:00am - 12:00pm; Fri 8:00am - 2:00pm",3,,1,0,1,0,0,1,1,2,,1,,,,,Veterans Park- move coordinates,0,City of Imperial Beach,9cd1d4cb-ac9a-4279-a09b-864ea576a740,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
42,1558,Seaport Village West,32.70922105,-117.1708795,"855 W Harbor Drive, San Diego, CA 92101","10:00am - 9:00pm, daily",3,,1,1,1,1,0,1,1,5,,,,,1,,,0,Port of San Diego,5349c2dd-4043-4e5e-bf86-c6959ca087d8,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
43,1099,Center Beach,32.68364522,-117.1839882,"100 Ocean Blvd, Coronado, CA 92118",Unknown,3,"7AM-10PM, daily ",0,0,2,0,0,1,1,2,,2,,,,,"Two showers outdoors. showers in bathrooms. water refill station, bike racks, benches outside. bench in bathroom/shower",0,City of Coronado,97a08ced-5689-4f2f-9749-03007d8ce17c,42:35.3,arios8883_SDSUGeo,55:35.5,,4/15/22 17:00
44,1488,Portwood Pier Plaza,32.58192464,-117.1321591,"790 Seacoast Drive, Imperial Beach, CA 91932",6:00am - 10:30pm,3,,,0,1,0,0,1,1,2,,2,,,,,,0,Port of San Diego,f8f78a9c-a8f3-4324-878b-85256850cc17,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
45,1169,Dunes Park,32.58190825,-117.1321265,"790 Seacoast Dr, Imperial Beach, CA 91932","7:00am to Sunset, daily",3,,,0,1,0,0,1,1,2,,1,,,,,,0,Port of San Diego,1c1bbf6d-8b19-4ba4-ba0c-fa1ef9d76be0,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
46,1411,Northmont Park,32.78857778,-116.9996556,"6058 Severin Dr, La Mesa, CA 91942","6:00am - 10:00pm, daily",0,,1,0,0,0,0,1,3,2,,1,,,,,,0,City of La Mesa,d2740aad-3606-4a5e-ba75-03bf390b17fc,42:35.3,arios8883_SDSUGeo,33:46.8,,8/23/22 18:32
47,1508,Renette Recreation Center,32.78314652,-116.9684356,"935 Emerald Ave, El Cajon, CA 92020","Mon - Fri 2:00pm - 9:30pm, Sat 12:00pm - 4:00pm, Sun Closed",3,,,0,1,1,0,1,1,1,2,,,,,,,0,City of El Cajon,f65e0e4f-1e99-4932-8591-97d6e9fb1a8b,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
48,1566,Silver Wing Recreation Center,32.5778324,-117.0534213,"3737 Arey Dr, San Diego, CA 92154",Mon - Fri 12:00pm - 7:00pm; Sat 9:00am - 5:00pm; Sun Closed,3,,,0,1,0,0,1,1,1,2,,,,,,,0,City of San Diego,44d71213-836b-4b55-988c-336ddace3f47,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
49,1173,East Mission Bay,32.78452505,-117.2089234,"2195 E Mission Bay Dr, San Diego, CA 92109",24/7,1,,0,0,1,0,0,1,1,2,,2,,,,,,0,City of San Diego,0a9951e4-fa1c-4bd7-92b2-61f8e59358ab,42:35.3,arios8883_SDSUGeo,21:23.5,,6/19/22 18:20
50,1520,Runner's Bathroom Mission Bay Park,32.78847346,-117.2089512,"2600 E Mission Bay Dr., San Diego, CA 92109",24/7,1,,0,0,0,0,0,1,1,2,,1,,,,,,0,City of San Diego,06428e1e-8201-4d6b-bf31-75148996f008,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
51,1242,Harry Griffen Park,32.78443056,-116.9875667,"9550 Milden St, La Mesa, CA 91942","7:00am - 5:00pm, daily",1,,1,0,1,0,0,1,1,2,,1,,,,,,0,City of La Mesa,9dbd0cc7-8f23-4eb3-90c3-4859a7b59a03,42:35.3,arios8883_SDSUGeo,24:07.8,,5/22/22 14:21
52,1088,Carlton Oaks Golf Club,32.84218464,-117.0097499,"9200 Inwood Dr, Santee, CA 92071",Mon - Thurs 10:00am - 7:00pm; Fri 9:00am - 8:30pm; Sat - 6:30am - 8:30pm; Sun  8:00am - 7:00pm,0,,1,0,1,0,0,1,1,2,,5,,,,,,0,Carlton Oaks Golf Club,0c600e96-cb3d-4dd4-b024-cb1a9fb5eda2,42:35.3,arios8883_SDSUGeo,52:20.8,,6/29/22 18:45
53,1203,Fanuel Street Park,32.79177497,-117.2444563,"9950 Fanuel St, San Diego, CA 92109",24/7,0,,0,0,1,0,1,1,1,2,,2,,,,,,0,City of San Diego,63b156a7-32e9-41b7-b308-e677ae02c61e,42:35.3,arios8883_SDSUGeo,58:25.6,,5/19/22 18:56
54,1147,Crown Point Park North,32.78750842,-117.2326381,"3700 Crown Point Dr, San Diego, CA 92109",24/7,1,,1,0,1,0,1,1,1,2,,1,,,,,,0,City of San Diego,d7a2f40c-5d05-4f43-a81a-93079451c4f7,42:35.3,arios8883_SDSUGeo,57:49.8,,5/19/22 15:55
55,1372,Mission Bay Playground,32.77191684,-117.2092593,"3115 Sunset Cliffs Blvd, San Diego, CA 92109",24/7,1,,,0,1,0,0,1,1,2,,1,,,,,,0,City of San Diego,b2cc9a5e-e01f-411e-a13b-c13f8aae8563,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
56,1553,Santee Town Center Community Park East,32.84914842,-116.9793729,"550 Park Center Dr, Santee, CA 92071",6:00am - 10:00pm daily,1,,,0,1,0,0,1,1,2,,1,,,,,,0,City of Santee,71bf60fb-291d-4624-a67a-2efd49fd582e,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
57,1630,Santee Town Center Community Park West,32.84933503,-116.982622,"9409 Cuyamaca St, Santee, CA 92071",6:00am - 10:00pm daily,1,,,0,1,0,0,1,1,2,,1,,,,,,0,City of Santee,8d73d1ce-ac09-4807-b76f-85404c675bac,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
58,1347,MacKenzie Creek Park,32.65957983,-116.9690492,"2775 MacKenzie Creek Rd, Chula Vista, CA 91914","7:00am - 10:00pm, daily",1,,1,0,0,0,0,1,1,2,,1,,,,,,0,City of Chula Vista,14ca7e01-08f0-4b5e-83c5-a934689be5e2,42:35.3,arios8883_SDSUGeo,31:24.7,,5/23/22 15:30
59,1470,Portland Loo (Park & Market),32.71178366,-117.1539283,"Park Blvd & Market St, San Diego, CA 92101",6am-10pm,1,,1,0,1,0,1,1,1,3,,,1,,,,,0,City of San Diego and Park & Market Condominium Master Association,029b1387-8747-47c6-8baf-0d894e11bebf,42:35.3,arios8883_SDSUGeo,15:30.9,arios8883_SDSUGeo,8/24/22 17:16
60,1457,Pacific Beach Diamond Street,32.79903114,-117.2578749,"600 Diamond St, San Diego, CA 92109",24/7,1,,0,0,1,0,0,1,1,2,,2,,,,,,0,City of San Diego,a2f309e0-2a3b-4270-925c-05632385ed0c,42:35.3,arios8883_SDSUGeo,47:35.9,,6/24/22 16:42
61,1135,Coronado Ferry Landing near Holland's Bikes,32.69861228,-117.1701677,"1201 1st St # 101, Coronado, CA 92118","10:00am - 9:00pm, daily",,,1,1,1,1,0,1,1,,,,,,,,25c menstrual products; hours not posted,0,City of Coronado,d480d056-bfca-48a7-8ee0-e6a6113c71b3,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
62,1478,Pepper Park,32.64980425,-117.1114093,"3299 Tidelands Ave., National City, CA 91950","6:00am - 10:30pm, daily",,,1,0,1,1,0,1,1,2,,1,,,,,,0,Port of San Diego,39210eab-7689-4e12-87e3-7b5c05542246,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
63,1198,Eucalyptus County Park,32.75990035,-117.0010787,"9125 Edgewood Drive, La Mesa, CA 91941","6:00am - 7:00pm, daily",1,,1,0,1,0,0,1,3,2,,1,,,,,,0,San Diego County,4211ec55-b715-4c01-a1d7-f541886aa90b,42:35.3,arios8883_SDSUGeo,48:41.7,,7/19/22 18:48
64,1199,Eucalyptus Park,32.6495647,-117.0890651,"436 C St, Chula Vista, CA 91910","6:00am - 9:00pm, daily",3,6:30-4p,1,0,1,0,0,1,1,2,,1,,,,,,0,City of Chula Vista,816cce68-7fe6-465c-b733-5e62b6b7c46e,42:35.3,arios8883_SDSUGeo,53:49.5,,7/19/22 18:53
65,1295,Kimball Park (1),32.67179367,-117.1043141,"49 E 16th Street, National City, CA 91950","Dawn to Sunset, daily ",1,,1,0,1,0,0,1,1,2,,1,,,,,,0,City of National City,d327dca2-fb91-4c06-97ca-e757b1d68027,42:35.3,arios8883_SDSUGeo,27:02.0,,7/22/22 16:25
66,1319,Las Palmas Park (1),32.66930663,-117.0829902,1800 E 22nd St. National City Ca 91950,"6:30am - 4:00pm, daily",0,,1,0,1,0,0,1,1,2,,1,,,,,,0,City of National City,1128ef11-30eb-4266-bdc0-38c01d36c3b8,42:35.3,arios8883_SDSUGeo,09:00.4,,7/22/22 17:08
67,1547,Santee Lakes (Tin Fish),32.85828183,-117.0064526,"9310 Fanita Pkwy, Santee, CA 92071","Seasonal Park Hours (Nov 7-Through Feb) Mon - Thurs 8:00am - 5:00pm, Fri - Sun 6:00am - 5:00pm. (March 13-Sep) Mon - Thurs 8:00am - 7:00pm, Fri - Sun 6:00am - 7:00pm, (Oct) Mon - Thurs 8:00am - 6:00pm, Fri - Sun 6:00am - 6:00pm",,,,0,0,1,1,1,1,2,,1,,,,,,0,Padre Dam,ef9626d0-7869-4807-aebc-a4b276b5091e,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
68,1548,Santee Lakes Guardhouse,32.84893645,-117.0049069,"9310 Fanita Pkwy, Santee, CA 92071","Seasonal Park Hours (Nov 7-Through Feb) Mon - Thurs 8:00am - 5:00pm, Fri - Sun 6:00am - 5:00pm. (March 13-Sep) Mon - Thurs 8:00am - 7:00pm, Fri - Sun 6:00am - 7:00pm, (Oct) Mon - Thurs 8:00am - 6:00pm, Fri - Sun 6:00am - 6:00pm",,,,0,1,0,0,1,1,2,,1,,,,,,0,Padre Dam,082d5607-8a82-4a01-a51a-b3471b3cf772,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
69,1609,Sweetwater Summit Regional Park Playground,32.68308699,-117.0007333,"3218 Summit Meadow Rd, Bonita, CA 91902","9:30am to Sunset, daily",0,,1,0,1,0,0,1,2,2,,1,,,,,,2,San Diego County,9c257025-2e1f-45c4-9c4a-d04378c4ac85,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
70,1206,Fault Line Park,32.71034376,-117.1515895,"1443 Island Ave, San Diego, CA 92101","6:00am - 12:00am, daily",0,,1,0,1,0,1,1,1,5,,,,,2,,,0,City of San Diego & Pinnacle International Development Inc,0aeff37f-a90c-4de8-89de-d73e7c6e0b34,42:35.3,arios8883_SDSUGeo,06:10.9,,8/19/22 19:05
71,1644,Verna Quinn Athletic Field,32.71617084,-117.0565126,"6508 Wunderlin Ave, San Diego, CA 92114",24/7,0,,,3,2,2,2,0,2,2,,1,,,,,Restroom closed. No hours posted.,2,City of San Diego,e842f468-45bc-45ca-8992-ce343afc72d2,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
72,1633,Tuttle Park,32.77966415,-116.9657272,"379 W Chase Ave, El Cajon, CA 92020",7:00am - 9:00pm (Only open during baseball games),0,,,3,2,2,2,0,2,2,,1,,,,,Security kicked out people for camping,2,City of El Cajon,df3c48c8-b61b-4cbd-ab7a-9769f9f11924,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
